==================================================
Task Execution Time : 2026-07-09 14:42:53
Task Identifier     : manual_putney_wandsworth_2014-02-15_0
Requested Target    : 2014-02-15
Actual Capture Date : 2014-02-13
Zoom Level          : 18
Bounding Box (4326) : (np.float64(-0.235), np.float64(51.45), np.float64(-0.17), np.float64(51.4825))
Total Patches Found : 182
--------------------------------------------------
[Original Log Entries]
T149 gesh_65461_84274_18.jpg: 2014-2-13 Ok
T150 gesh_65461_84275_18.jpg: 2014-2-13 Ok
T151 gesh_65461_84276_18.jpg: 2014-2-13 Ok
T152 gesh_65461_84277_18.jpg: 2014-2-13 Ok
T153 gesh_65461_84278_18.jpg: 2014-2-13 Ok
T154 gesh_65461_84279_18.jpg: 2014-2-13 Ok
T155 gesh_65461_84280_18.jpg: 2014-2-13 Ok
T156 gesh_65462_84268_18.jpg: 2014-2-13 Ok
T157 gesh_65462_84269_18.jpg: 2014-2-13 Ok
T158 gesh_65462_84270_18.jpg: 2014-2-13 Ok
T159 gesh_65462_84271_18.jpg: 2014-2-13 Ok
T160 gesh_65462_84272_18.jpg: 2014-2-13 Ok
T161 gesh_65462_84273_18.jpg: 2014-2-13 Ok
T162 gesh_65462_84274_18.jpg: 2014-2-13 Ok
T163 gesh_65462_84275_18.jpg: 2014-2-13 Ok
T164 gesh_65462_84276_18.jpg: 2014-2-13 Ok
T165 gesh_65462_84277_18.jpg: 2014-2-13 Ok
T166 gesh_65462_84278_18.jpg: 2014-2-13 Ok
T167 gesh_65462_84279_18.jpg: 2014-2-13 Ok
T168 gesh_65462_84280_18.jpg: 2014-2-13 Ok
T169 gesh_65463_84268_18.jpg: 2014-2-13 Ok
T170 gesh_65463_84269_18.jpg: 2014-2-13 Ok
T171 gesh_65463_84270_18.jpg: 2014-2-13 Ok
T172 gesh_65463_84271_18.jpg: 2014-2-13 Ok
T173 gesh_65463_84272_18.jpg: 2014-2-13 Ok
T174 gesh_65463_84273_18.jpg: 2014-2-13 Ok
T175 gesh_65463_84274_18.jpg: 2014-2-13 Ok
T176 gesh_65463_84275_18.jpg: 2014-2-13 Ok
T177 gesh_65463_84276_18.jpg: 2014-2-13 Ok
T178 gesh_65463_84277_18.jpg: 2014-2-13 Ok
T179 gesh_65463_84278_18.jpg: 2014-2-13 Ok
T180 gesh_65463_84279_18.jpg: 2014-2-13 Ok
T181 gesh_65463_84280_18.jpg: 2014-2-13 Ok
T0 gesh_65450_84268_18.jpg: 2014-2-13 Ok
T1 gesh_65450_84269_18.jpg: 2014-2-13 Ok
T2 gesh_65450_84270_18.jpg: 2014-2-13 Ok
T3 gesh_65450_84271_18.jpg: 2014-2-13 Ok
T4 gesh_65450_84272_18.jpg: 2014-2-13 Ok
T5 gesh_65450_84273_18.jpg: 2014-2-13 Ok
T6 gesh_65450_84274_18.jpg: 2014-2-13 Ok
T7 gesh_65450_84275_18.jpg: 2014-2-13 Ok
T8 gesh_65450_84276_18.jpg: 2014-2-13 Ok
T9 gesh_65450_84277_18.jpg: 2014-2-13 Ok
T10 gesh_65450_84278_18.jpg: 2014-2-13 Ok
T11 gesh_65450_84279_18.jpg: 2014-2-13 Ok
T12 gesh_65450_84280_18.jpg: 2014-2-13 Ok
T26 gesh_65452_84268_18.jpg: 2014-2-13 Ok
T27 gesh_65452_84269_18.jpg: 2014-2-13 Ok
T28 gesh_65452_84270_18.jpg: 2014-2-13 Ok
T29 gesh_65452_84271_18.jpg: 2014-2-13 Ok
T30 gesh_65452_84272_18.jpg: 2014-2-13 Ok
T31 gesh_65452_84273_18.jpg: 2014-2-13 Ok
T32 gesh_65452_84274_18.jpg: 2014-2-13 Ok
T33 gesh_65452_84275_18.jpg: 2014-2-13 Ok
T34 gesh_65452_84276_18.jpg: 2014-2-13 Ok
T35 gesh_65452_84277_18.jpg: 2014-2-13 Ok
T36 gesh_65452_84278_18.jpg: 2014-2-13 Ok
T37 gesh_65452_84279_18.jpg: 2014-2-13 Ok
T38 gesh_65452_84280_18.jpg: 2014-2-13 Ok
T78 gesh_65456_84268_18.jpg: 2014-2-13 Ok
T79 gesh_65456_84269_18.jpg: 2014-2-13 Ok
T80 gesh_65456_84270_18.jpg: 2014-2-13 Ok
T81 gesh_65456_84271_18.jpg: 2014-2-13 Ok
T82 gesh_65456_84272_18.jpg: 2014-2-13 Ok
T83 gesh_65456_84273_18.jpg: 2014-2-13 Ok
T84 gesh_65456_84274_18.jpg: 2014-2-13 Ok
T85 gesh_65456_84275_18.jpg: 2014-2-13 Ok
T86 gesh_65456_84276_18.jpg: 2014-2-13 Ok
T87 gesh_65456_84277_18.jpg: 2014-2-13 Ok
T88 gesh_65456_84278_18.jpg: 2014-2-13 Ok
T89 gesh_65456_84279_18.jpg: 2014-2-13 Ok
T90 gesh_65456_84280_18.jpg: 2014-2-13 Ok
T130 gesh_65460_84268_18.jpg: 2014-2-13 Ok
T131 gesh_65460_84269_18.jpg: 2014-2-13 Ok
T132 gesh_65460_84270_18.jpg: 2014-2-13 Ok
T133 gesh_65460_84271_18.jpg: 2014-2-13 Ok
T134 gesh_65460_84272_18.jpg: 2014-2-13 Ok
T135 gesh_65460_84273_18.jpg: 2014-2-13 Ok
T136 gesh_65460_84274_18.jpg: 2014-2-13 Ok
T137 gesh_65460_84275_18.jpg: 2014-2-13 Ok
T138 gesh_65460_84276_18.jpg: 2014-2-13 Ok
T139 gesh_65460_84277_18.jpg: 2014-2-13 Ok
T140 gesh_65460_84278_18.jpg: 2014-2-13 Ok
T141 gesh_65460_84279_18.jpg: 2014-2-13 Ok
T142 gesh_65460_84280_18.jpg: 2014-2-13 Ok


